;t_user;rt_user;user_id;retweet_count;favorite_count;created_at;retweeted;hashtags;user_mentions;text
3;Mahjoub BAYASSINE;MaunaTraikia;904251472640139265;3;0;Sun Apr 16 05:49:43 +0000 2023;True;[{'text': 'cybersecurity', 'indices': [18, 32]}];[{'screen_name': 'MaunaTraikia', 'name': 'Mauna Traikia 🇫🇷 🇪🇺 🌍🧩', 'id': 66381016, 'id_str': '66381016', 'indices': [3, 16]}];"RT @MaunaTraikia: #cybersecurity Créer  des opportunités Préparer les cyber combattantes &amp; les cyber combattants de demain c’est maintenant…"
4;LaBêteCherchesaBelle;SouveraineTech;1118404375997747200;3;0;Sat Apr 15 23:45:53 +0000 2023;True;[{'text': 'IA', 'indices': [21, 24]}, {'text': 'souveraineté', 'indices': [61, 74]}];[{'screen_name': 'SouveraineTech', 'name': 'Souveraine Tech', 'id': 1256644369077219328, 'id_str': '1256644369077219328', 'indices': [3, 18]}, {'screen_name': 'fabien_gandon', 'name': 'Fabien Gandon', 'id': 14301911, 'id_str': '14301911', 'indices': [80, 94]}];"RT @SouveraineTech: ""#IA : bâtir la confiance et garantir la #souveraineté"" par @fabien_gandon

https://t.co/g1OAFOoVKm"
5;Kacou Ghislain Daniel;JamyAlphaCrypto;1270131883607756800;1;0;Sat Apr 15 20:47:38 +0000 2023;True;[];[{'screen_name': 'JamyAlphaCrypto', 'name': 'AlphaCrypto_News', 'id': 1304703586018918400, 'id_str': '1304703586018918400', 'indices': [3, 19]}];"RT @JamyAlphaCrypto: [ METAVERSE ] 

🇫🇷 Le Ministère de l'Économie, des Finances et de la Souveraineté industrielle et numérique de France…"
6;Souveraine Tech;SouveraineTech;1256644369077219328;3;0;Sat Apr 15 20:34:10 +0000 2023;True;[{'text': 'IA', 'indices': [21, 24]}, {'text': 'souveraineté', 'indices': [61, 74]}];[{'screen_name': 'SouveraineTech', 'name': 'Souveraine Tech', 'id': 1256644369077219328, 'id_str': '1256644369077219328', 'indices': [3, 18]}, {'screen_name': 'fabien_gandon', 'name': 'Fabien Gandon', 'id': 14301911, 'id_str': '14301911', 'indices': [80, 94]}];"RT @SouveraineTech: ""#IA : bâtir la confiance et garantir la #souveraineté"" par @fabien_gandon

https://t.co/g1OAFOoVKm"
7;Wimmics Team;SouveraineTech;462201188;3;0;Sat Apr 15 16:43:34 +0000 2023;True;[{'text': 'IA', 'indices': [21, 24]}, {'text': 'souveraineté', 'indices': [61, 74]}];[{'screen_name': 'SouveraineTech', 'name': 'Souveraine Tech', 'id': 1256644369077219328, 'id_str': '1256644369077219328', 'indices': [3, 18]}, {'screen_name': 'fabien_gandon', 'name': 'Fabien Gandon', 'id': 14301911, 'id_str': '14301911', 'indices': [80, 94]}];"RT @SouveraineTech: ""#IA : bâtir la confiance et garantir la #souveraineté"" par @fabien_gandon

https://t.co/g1OAFOoVKm"
8;Vincent DEJOIE;capeb_fr;1506723462072655875;13;0;Sat Apr 15 14:08:12 +0000 2023;True;[{'text': 'AGCAPEB', 'indices': [34, 42]}];[{'screen_name': 'capeb_fr', 'name': 'La CAPEB', 'id': 2498869392, 'id_str': '2498869392', 'indices': [3, 12]}, {'screen_name': 'BrunoLeMaire', 'name': 'Bruno Le Maire', 'id': 374184532, 'id_str': '374184532', 'indices': [44, 57]}];RT @capeb_fr: 🎬 A l'occasion de l'#AGCAPEB, @BrunoLeMaire, Ministre de l’Économie, des Finances et de la Souveraineté industrielle et numér…
9;Thierry Ravon;capeb_fr;1568330226274373635;13;0;Sat Apr 15 13:47:49 +0000 2023;True;[{'text': 'AGCAPEB', 'indices': [34, 42]}];[{'screen_name': 'capeb_fr', 'name': 'La CAPEB', 'id': 2498869392, 'id_str': '2498869392', 'indices': [3, 12]}, {'screen_name': 'BrunoLeMaire', 'name': 'Bruno Le Maire', 'id': 374184532, 'id_str': '374184532', 'indices': [44, 57]}];RT @capeb_fr: 🎬 A l'occasion de l'#AGCAPEB, @BrunoLeMaire, Ministre de l’Économie, des Finances et de la Souveraineté industrielle et numér…
10;CAPEB AURA;capeb_fr;3937147156;13;0;Sat Apr 15 13:05:52 +0000 2023;True;[{'text': 'AGCAPEB', 'indices': [34, 42]}];[{'screen_name': 'capeb_fr', 'name': 'La CAPEB', 'id': 2498869392, 'id_str': '2498869392', 'indices': [3, 12]}, {'screen_name': 'BrunoLeMaire', 'name': 'Bruno Le Maire', 'id': 374184532, 'id_str': '374184532', 'indices': [44, 57]}];RT @capeb_fr: 🎬 A l'occasion de l'#AGCAPEB, @BrunoLeMaire, Ministre de l’Économie, des Finances et de la Souveraineté industrielle et numér…
12;Emmanuel ecousszz;ecousszz;1578698429001306114;1;0;Sat Apr 15 11:54:28 +0000 2023;True;[];[{'screen_name': 'ecousszz', 'name': 'Emmanuel ecousszz', 'id': 1578698429001306114, 'id_str': '1578698429001306114', 'indices': [3, 12]}];RT @ecousszz: https://t.co/724SXraWfP
13;Alex Laf ✞ 🌟🌟;LeThomasOFF;351433446;2;0;Sat Apr 15 11:21:47 +0000 2023;True;[{'text': 'BrunoLeMaire', 'indices': [118, 131]}];[{'screen_name': 'LeThomasOFF', 'name': 'THOMIX !', 'id': 1133745059306835968, 'id_str': '1133745059306835968', 'indices': [3, 15]}];RT @LeThomasOFF: Le ministre de l'Économie, des Finances et de la Souveraineté industrielle et numérique de la France #BrunoLeMaire fête au…
14;Pierre KUCHLY;MaunaTraikia;164313583;3;0;Sat Apr 15 11:17:24 +0000 2023;True;[{'text': 'cybersecurity', 'indices': [18, 32]}];[{'screen_name': 'MaunaTraikia', 'name': 'Mauna Traikia 🇫🇷 🇪🇺 🌍🧩', 'id': 66381016, 'id_str': '66381016', 'indices': [3, 16]}];"RT @MaunaTraikia: #cybersecurity Créer  des opportunités Préparer les cyber combattantes &amp; les cyber combattants de demain c’est maintenant…"
15;100% INFOS MÉDIAS;LeThomasOFF;366553643;2;0;Sat Apr 15 11:16:50 +0000 2023;True;[{'text': 'BrunoLeMaire', 'indices': [118, 131]}];[{'screen_name': 'LeThomasOFF', 'name': 'THOMIX !', 'id': 1133745059306835968, 'id_str': '1133745059306835968', 'indices': [3, 15]}];RT @LeThomasOFF: Le ministre de l'Économie, des Finances et de la Souveraineté industrielle et numérique de la France #BrunoLeMaire fête au…
17;La veille techno;MaunaTraikia;135145900;3;0;Sat Apr 15 10:54:22 +0000 2023;True;[{'text': 'cybersecurity', 'indices': [18, 32]}];[{'screen_name': 'MaunaTraikia', 'name': 'Mauna Traikia 🇫🇷 🇪🇺 🌍🧩', 'id': 66381016, 'id_str': '66381016', 'indices': [3, 16]}];"RT @MaunaTraikia: #cybersecurity Créer  des opportunités Préparer les cyber combattantes &amp; les cyber combattants de demain c’est maintenant…"
22;Linagora;fayon;42016359;4;0;Sat Apr 15 07:53:31 +0000 2023;True;[];"[{'screen_name': 'fayon', 'name': 'David Fayon #Transformationdigitale', 'id': 20511199, 'id_str': '20511199', 'indices': [3, 9]}, {'screen_name': 'linagora', 'name': 'Linagora', 'id': 42016359, 'id_str': '42016359', 'indices': [43, 52]}, {'screen_name': 'Issylesmoul', 'name': ""Ville d'Issy-les-Moulineaux"", 'id': 42961198, 'id_str': '42961198', 'indices': [55, 67]}, {'screen_name': 'michel_paulin', 'name': 'Michel Paulin', 'id': 598213551, 'id_str': '598213551', 'indices': [73, 87]}, {'screen_name': 'OVHcloud', 'name': 'OVHcloud', 'id': 317647291, 'id_str': '317647291', 'indices': [88, 97]}, {'screen_name': 'gouriet', 'name': 'Gouriet Martine', 'id': 100223182, 'id_str': '100223182', 'indices': [98, 106]}, {'screen_name': 'AlainIssarni', 'name': 'Alain Issarni', 'id': 260675980, 'id_str': '260675980', 'indices': [107, 120]}, {'screen_name': 'NumSpotCloud', 'name': 'NumSpot', 'id': 1621188626317983744, 'id_str': '1621188626317983744', 'indices': [121, 134]}]";"RT @fayon: 24 avril 18 h 30 L'événement de @linagora à @Issylesmoul avec @michel_paulin @OVHcloud
@gouriet @AlainIssarni @NumSpotCloud @pla…"
25;Jean-Christophe Repon;capeb_fr;1469374645;13;0;Sat Apr 15 06:15:00 +0000 2023;True;[{'text': 'AGCAPEB', 'indices': [34, 42]}];[{'screen_name': 'capeb_fr', 'name': 'La CAPEB', 'id': 2498869392, 'id_str': '2498869392', 'indices': [3, 12]}, {'screen_name': 'BrunoLeMaire', 'name': 'Bruno Le Maire', 'id': 374184532, 'id_str': '374184532', 'indices': [44, 57]}];RT @capeb_fr: 🎬 A l'occasion de l'#AGCAPEB, @BrunoLeMaire, Ministre de l’Économie, des Finances et de la Souveraineté industrielle et numér…
26;Nouamane Cherkaoui 📌;CSNUMPOST;4890210593;6;0;Fri Apr 14 22:17:24 +0000 2023;True;[{'text': 'CSNP', 'indices': [24, 29]}, {'text': 'souveraineté', 'indices': [107, 120]}];[{'screen_name': 'CSNUMPOST', 'name': 'Commission Supérieure du Numérique et des Postes', 'id': 2828093282, 'id_str': '2828093282', 'indices': [3, 13]}, {'screen_name': 'HenriVerdier', 'name': 'Henri Verdier', 'id': 42113624, 'id_str': '42113624', 'indices': [43, 56]}];RT @CSNUMPOST: Hier, la #CSNP auditionnait @HenriVerdier, Ambassadeur pour le numérique à l’occasion du GT #souveraineté numérique piloté p…
27;Nouamane Cherkaoui 📌;arnopons;4890210593;27;0;Fri Apr 14 22:16:48 +0000 2023;True;[];[{'screen_name': 'arnopons', 'name': 'ARNO PONS', 'id': 42658066, 'id_str': '42658066', 'indices': [3, 12]}];RT @arnopons: La souveraineté, en parler c'est bien, la pratiquer c'est mieux (difficile d'aborder les questions de souveraineté numérique…
